Impact
potentially enable information disclosure
potentially enable information disclosure
denial of service
potentially enable information disclosure
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
escalation of privilege
potentially enable information disclosure
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
potentially enable information disclosure
escalation of privilege
escalation of privilege
denial of service
denial of service
escalation of privilege
denial of service
information disclosure
denial of service
escalation of privilege
denial of service
escalation of privilege
potentially enable information disclosure
potentially enable information disclosure
escalation of privilege
escalation of privilege
denial of service
denial of service
escalation of privilege
denial of service
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
potentially enable information disclosure
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
potentially enable information disclosure
potentially enable information disclosure
denial of service
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
potentially enable information disclosure
activation of test
escalation of privilege
denial of service
potentially enable information disclosure
escalation of privilege
denial of service
aescalation of privilege
aescalation of privilege
potentially enable information disclosure
escalation of privilege
escalation of privilege
escalation of privilege
aescalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
potentially enable information disclosure
potentially enable information disclosure
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
denial of service
privilege escalation
potentially enable information disclosure
denial of service
escalation of privilege
escalation of privilege
escalation of privilege
aescalation of privilege
aescalation of privilege
aescalation of privilege
escalation of privilege
escalation of privilege
escalation of privilege
denial of service
denial of service
denial of service
escalation of privilege
monitor the status of memory usage level
monitor traffic levels
drop broadcast
create and read database files generated
run dexp with root privileges
access sensitive information
DoS
DoS
DoS
DoS
elevate their privileges over the target system
DoS
read files
retrieve administrator credentials stored in plaintext
elevating their privileges over the system
restart the PPMD process
DoS
DoS
monitor the status of memory consumption
DoS
stop being forwarded
crashing of the fxpc process
execute commands with root privilege
execute commands with root privilege
store
execute arbitrary code in the victim browser
obtain a copy of credentials
DoS
monitor the interface traffic
Denial of Service
DoS
monitor interface traffic
escalate privileges
execute arbitrary commands as root
DoS
DoS
Denial of Service
DoS
DDoS
traffic impact
DoS
Denial of Service
DoS
monitor the status of memory consumption
read sensitive system files
mimic an already registered Test Agent
access its configuration including associated inventory details
DoS
FFEB
DoS
monitor the available disk space
DoS
DoS
DoS
exceed set policer limits
bypass the storm-control feature on devices
elevate their privileges
take control of the device
bypass the firewall rule sets applied to the input loopback filter
arbitrarily execute code or commands on the target to take over or otherwise impact the device
DoS
DoS
elevate their privileges
elevate their privileges
DoS
remote code execution
buffer overflow
remote code execution
escalate privileges
write to the local filesystem as root
read portions of sensitive files
run mosquitto with root privileges
access sensitive information stored on the local filesystem
out of memory condition
monitor the status of memory usage level
DoS
DoS
DoS
Denial of Service
DoS
stop processing updates
DoS
execute commands as root on the host running the AppFormix Agent
take control of any instance of a cSRX deployment
Denial of Service
DoS
modify the integrity of the device and exfiltration information from the device
supersede existing parameters
exfiltrate sensitive information
DoS
Denial of Service
DoS
Denial of Service
DoS
restore service
clear the kernel memory
Denial of Service
DoS
condition
target another user's session
gaining access to the users session
gain full control of the device
DoS
remote code execution
Denial of Service
DoS
remote code execution
DoS
escalate their privileges to root over the target device
Denial of Service
DoS
unspecified sensitive system information
DoS
DoS
routing process daemon
DoS
send specific sequences of packets
DoS
Denial of Service
DoS
send specific sequences of packets
DoS
Denial of Service
DoS
Interchassis Control Protocol
DoS
DoS
DoS
bypass the user-defined ARP Policer
review the output
go into a down state
DoS
DoS
consume memory resources
DoS
allocate additionally memory
DoS
high CPU usage
indicate that content from the requested domain will only be served over HTTPS
crash the port interface concentrator daemon
DoS
local escalation of privilege
local escalation of privilege
local escalation of privilege
local information disclosure of the user's contacts with User
local escalation of privilege
gain the android.permission.ACTIVITY
local escalation of privilege
local escalation of privilege
gain access to a dangerous permission
local escalation of privilege
local information disclosure
local escalation of privilege
remote information disclosure
remote information disclosure
remote denial of service
local escalation of privilege
grant an app access to an account
local escalation of privilege
remote code execution
local escalation of privilege
local escalation of privilege
grants access to nearby MAC addresses
local information disclosure
local information disclosure
local information disclosure
remote code execution
remote code execution
local escalation of privilege
retrieve
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
remote information disclosure
local escalation of privilege that bypasses a permission check
local escalation of privilege
denial of service
local escalation of privilege
remote information disclosure
remote information disclosure
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local information disclosure
local escalation of privilege
local escalation of privilege
denial of service
remote denial of service
denial of service
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
remote information disclosure
local escalation of privilege
local escalation of privilege
local escalation of privilege
local escalation of privilege
local information disclosure
local escalation of privilege
access external files
local escalation of privilege
local bypass of defense in depth protections
remote information disclosure
remote information disclosure
modify other telephony settings
local escalation of privilege
local information disclosure
local information disclosure
