Attacker
malicious application
primary user
malicious app
attacker
attacker
malicious app
caller
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
privileged user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
privileged user
privileged user
authenticated user
privileged user
privileged user
privileged user
authenticated user
unauthenticated user
authenticated user
authenticated user
unauthenticated user
privileged user
unauthenticated user
unauthenticated user
unauthenticated user
privileged user
unauthenticated user
unprivileged user
unauthenticated user
privileged user
authenticated user
authenticated user
authenticated user
privileged user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
privileged user
unprivileged user
authenticated user
unauthenticated user
authenticated user
unprivileged user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
unauthenticated user
authenticated user
authenticated user
authenticated user
authenticated user
authenticated user
privileged user
authenticated user
authenticated user
authenticated user
unauthenticated user
unauthenticated user
unauthenticated user
authenticated user
unauthenticated user
authenticated user
privileged user
privileged user
authenticated user
privileged user
authenticated user
privileged user
unauthenticated user
unauthenticated user
unauthenticated user
unauthenticated user
authenticated user
privileged user
authenticated user
attacker
unauthenticated attacker
unauthenticated attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
authenticated attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
attacker
unauthenticated attacker
attacker
application
malicious application
local user
local attacker
attacker
malicious application
malicious application
malicious application with root privileges
sandboxed process
local attacker
application
malicious application
application
application
malicious USB host
attacker
attacker
attacker
attacker
attacker
attacker
attacker
legitimate user
attacker
attacker
attacker with access to the web application
attacker
attacker
attacker
local attacker
local attacker
local attacker
local attacker with access
local attacker with access
local attacker
remote unauthenticated attacker
local authenticated attacker
administrative user
remote adversary
malicious userspace application
certain non-members
invited groups
attacker
attacker
low-privileged user
attacker
anonymous user
attacker
attacker
low-privileged user
attacker
attacker
attackers
demo account
demo account
resellers
demo account
attacker with physical access to internal ATM components
attacker with physical
attacker
attacker
attacker with physical access to internal ATM components
unauthenticated attacker
unauthenticated attacker
unauthenticated user
unauthenticated
adjacent attacker
EDR master
previously paired remote device
unauthenticated remote attacker
remote
unauthenticated attacker
user
user
unprivileged user
user
unprivileged users
remote attacker
remote attacker
attacker
remote attackers
remote attackers
attacker
attacker
remote attackers
remote
attacker
authenticated user
authenticated actor
unauthenticated actor
authenticated users
authenticated user
authenticated attacker
remote attackers
unauthenticated attacker
attacker
local attackers
remote attackers
authenticated remote attackers
man-in-the-middle attackers
attacker
unauthenticated remote attacker
attacker
attacker
remote attackers
authenticated user
remote attackers
remote attackers
remote attackers
unauthenticated remote attacker
unauthenticated remote attacker
attackers
authenticated users
attackers
remote
unprivileged user
Remote attackers
local attackers
local attacker
remote attackers
remote attackers
authenticated attacker
attacker
attacker
attacker
user
attacker
Attackers
XIAOAI
Attackers
attacker
attackers
cyber attackers
malicious operator
attackers
malicious actors
attackers
attacker
unauthorized attacker
manipulated program
